Agewt,ECG-0,ECG-1,BM-0,BM-1,CP-0,CP-1,CP-2,DB-0,DB-1,PFH-0,PFH-1,CHOL-0,CHOL-1,SCORE,Max-Score
0.035,0.000,0.904,0.000,0.008,0.040,0.000,0.000,0.406,0.000,0.637,0.000,0.000,0.491,2.521,
0.035,0.000,0.904,0.000,0.008,0.040,0.000,0.000,0.406,0.000,0.000,0.363,0.509,0.000,2.265,
0.035,0.000,0.904,0.000,0.008,0.040,0.000,0.000,0.406,0.000,0.000,0.363,0.000,0.491,2.247,
0.035,0.000,0.904,0.000,0.008,0.040,0.000,0.000,0.000,0.594,0.637,0.000,0.509,0.000,2.727,
0.035,0.000,0.904,0.000,0.008,0.040,0.000,0.000,0.000,0.594,0.637,0.000,0.000,0.491,2.709,
0.035,0.000,0.904,0.000,0.008,0.040,0.000,0.000,0.000,0.594,0.000,0.363,0.509,0.000,2.453,
0.035,0.000,0.904,0.000,0.008,0.040,0.000,0.000,0.000,0.594,0.000,0.363,0.000,0.491,2.435,
0.035,0.000,0.904,0.000,0.008,0.000,0.932,0.000,0.406,0.000,0.637,0.000,0.509,0.000,3.431,
0.035,0.000,0.904,0.000,0.008,0.000,0.932,0.000,0.406,0.000,0.637,0.000,0.000,0.491,3.413,
0.035,0.000,0.904,0.000,0.008,0.000,0.932,0.000,0.406,0.000,0.000,0.363,0.509,0.000,3.157,
0.035,0.000,0.904,0.000,0.008,0.000,0.932,0.000,0.406,0.000,0.000,0.363,0.000,0.491,3.139,
0.035,0.000,0.904,0.000,0.008,0.000,0.932,0.000,0.000,0.594,0.637,0.000,0.509,0.000,3.619,
0.035,0.000,0.904,0.000,0.008,0.000,0.932,0.000,0.000,0.594,0.637,0.000,0.000,0.491,3.601,
0.035,0.000,0.904,0.000,0.008,0.000,0.932,0.000,0.000,0.594,0.000,0.363,0.509,0.000,3.345,
0.035,0.000,0.904,0.000,0.008,0.000,0.932,0.000,0.000,0.594,0.000,0.363,0.000,0.491,3.327,
0.035,0.000,0.904,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.509,0.000,2.527,
